Location,Age-standardized suicide rates (per 100 000 population),Mean BMI (kg/m²) (age-standardized estimate),UV radiation,"Nurses working in mental health sector (per 100,000)",Adolescent birth rate (per 1000 women aged 15-19 years),"13-15-years old any alcoholic beverage consumed in past 30 days, (%)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",Estimate of daily tobacco use prevalence (%),Government expenditures on mental health as a percentage of total government expenditures on health (%),"Psychiatrists working in mental health sector (per 100,000)","Mental hospital admissions (per 100,000)",Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),"Social workers working in mental health sector (per 100,000)",Proportion of women aged 20-24 years who were married or in a union by age 15 (%)
Indonesia,2.5766666666666667,23.05,5.22,2.52,36.0,3.7,0.6,28.6,,0.31,252.2,38.46333333333333,21.4,,1.0
Iran (Islamic Republic of),5.8933333333333335,26.1,4.038,9.45,33.400000000000006,,1.0,11.8,3.6,2.02,117.6,41.66,16.1,1.51,3.0
Iraq,5.3,28.700000000000003,3.825,1.22,70.0,,0.4,17.3,,0.34,3.23,70.96333333333332,18.6,0.089,5.0
Ireland,9.136666666666667,27.45,1.509,,7.733333333333333,,12.9,19.3,,,,12.826666666666668,20.2,,
Israel,4.8133333333333335,27.25,3.682,,9.45,,4.2,20.2,,9.87,238.5,22.386666666666667,15.7,,
Italy,4.673333333333333,25.6,2.444,23.49,4.766666666666667,,7.8,17.9,5.0,5.98,0.36,23.53333333333333,27.8,2.59,
Jamaica,2.18,27.700000000000003,4.942,10.27,53.9,45.1,4.2,7.9,6.04,1.15,35.84,17.93,19.8,0.45,1.0
Japan,14.049999999999999,22.7,2.521,83.81,3.733333333333333,,8.0,17.2,4.94,11.87,199.5,12.816666666666668,23.7,8.33,
Jordan,1.86,28.95,4.026,3.3,27.0,,0.7,,,1.12,42.69,30.14,13.8,0.22,0.0
Kazakhstan,22.206666666666667,26.35,2.257,,28.0,,4.8,17.0,,,,33.63666666666666,24.8,,0.0
Kenya,10.563333333333333,23.3,5.803,,,,2.8,9.3,,0.18,,25.310000000000002,19.3,,4.0
Kiribati,31.493333333333336,30.05,6.229,2.67,50.6,,0.5,44.8,,,,0.12666666666666668,18.3,0.89,3.0
Kuwait,2.4499999999999997,29.55,4.214,,6.333333333333333,,0.0,20.3,,,102.1,13.813333333333333,13.4,,
Kyrgyzstan,9.893333333333333,26.55,3.094,7.37,37.233333333333334,,6.3,22.2,4.0,1.69,176.1,56.04333333333333,22.3,,1.0
Lao People's Democratic Republic,6.1933333333333325,22.85,4.735,,88.9,19.8,10.7,29.7,,,0.0,46.01666666666667,19.2,,9.0
Latvia,17.143333333333334,26.65,1.671,22.83,16.533333333333335,,12.8,28.2,5.9,9.99,912.1,41.99666666666666,33.2,,
Lebanon,2.8800000000000003,27.55,2.953,3.14,,17.5,1.7,29.5,4.8,1.21,8.44,32.75333333333333,16.5,1.33,1.0
Lesotho,105.96333333333332,24.9,4.439,,90.9,,4.6,22.5,1.8,,,16.80333333333333,19.1,,1.0
Liberia,7.63,24.05,4.926,6.4,150.3,14.5,6.1,7.0,,0.044,13.51,46.336666666666666,21.9,1.4,9.0
Libya,5.303333333333334,28.05,3.861,,,,0.0,,,,60.0,,18.6,,
Lithuania,26.209999999999997,26.4,1.801,49.76,13.333333333333334,,13.2,19.2,,18.45,680.4,32.25,31.2,,
Luxembourg,8.216666666666667,26.3,1.687,,4.766666666666667,,12.9,16.4,,17.82,,10.736666666666666,21.1,,
